dropoff_location_name,average_trips
Loop,10.727.466.666.666.600
River North,9.523.666.666.666.660
Streeterville,6.664.666.666.666.660
West Loop,5.163.666.666.666.660
O'Hare,2546.9
Lake View,24.209.666.666.666.600
Grant Park,20.685.333.333.333.300
Museum Campus,1510.0
Gold Coast,13.642.333.333.333.300
Sheffield & DePaul,12.597.666.666.666.600
Lincoln Park,12.465.333.333.333.300
East Village,12.120.666.666.666.600
"Little Italy, UIC",863.7
Uptown,8.496.666.666.666.660
Near South Side,8.398.333.333.333.330
Garfield Ridge,745.4
Logan Square,6.203.333.333.333.330
Edgewater,583.3
West Town,516.4
Old Town,46.956.666.666.666.600
Rush & Division,39.553.333.333.333.300
North Center,39.326.666.666.666.600
Lincoln Square,35.673.333.333.333.300
Rogers Park,29.903.333.333.333.300
West Ridge,2.983.333.333.333.330
Irving Park,29.656.666.666.666.600
Hyde Park,25.513.333.333.333.300
Avondale,20.823.333.333.333.300
Wicker Park,182.6
Albany Park,180.9
United Center,178.9
Lower West Side,143.3
Douglas,142.9
Portage Park,11.973.333.333.333.300
Humboldt Park,9.786.666.666.666.660
Norwood Park,9.523.333.333.333.330
Kenwood,8.936.666.666.666.660
Bridgeport,77.1
Armour Square,7.703.333.333.333.330
Jefferson Park,7.433.333.333.333.330
Bucktown,74.3
North Park,6.783.333.333.333.330
Garfield Park,6.576.666.666.666.660
Mckinley Park,6.403.333.333.333.330
Belmont Cragin,5.903.333.333.333.330
Boystown,5.396.666.666.666.660
Chinatown,5.243.333.333.333.330
Grand Boulevard,51.6
Austin,4.443.333.333.333.330
"Sauganash,Forest Glen",4.356.666.666.666.660
South Shore,4.053.333.333.333.330
Woodlawn,36.166.666.666.666.600
Little Village,33.8
Jackson Park,3.310.344.827.586.200
North Lawndale,32.166.666.666.666.600
Dunning,30.166.666.666.666.600
Ukrainian Village,27.6
Hermosa,27.566.666.666.666.600
Englewood,25.433.333.333.333.300
Chatham,23.2
New City,22.933.333.333.333.300
Grand Crossing,22.6
Brighton Park,19.466.666.666.666.600
Andersonville,16.866.666.666.666.600
Oakland,16.633.333.333.333.300
Ashburn,16.133.333.333.333.300
Washington Park,16.033.333.333.333.300
Auburn Gresham,15.166.666.666.666.600
Clearing,14.5
Roseland,14.366.666.666.666.600
Wrigleyville,14.233.333.333.333.300
Edison Park,14.166.666.666.666.600
South Chicago,13.0
Chicago Lawn,12.266.666.666.666.600
Beverly,10.5
Calumet Heights,9.566.666.666.666.660
Washington Heights,9.133.333.333.333.330
Archer Heights,8.366.666.666.666.660
Gage Park,8.233.333.333.333.330
Fuller Park,8.166.666.666.666.660
West Lawn,7.733.333.333.333.330
Morgan Park,7.7
South Deering,7.5
Avalon Park,6.966.666.666.666.660
West Pullman,6.466.666.666.666.660
Montclare,5.766.666.666.666.660
West Elsdon,5.666.666.666.666.660
Pullman,3.896.551.724.137.930
Undef,3.8
Mount Greenwood,31.379.310.344.827.500
Hegewisch,31.176.470.588.235.200
Burnside,23.333.333.333.333.300
East Side,19.615.384.615.384.600
Riverdale,1.8
